date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:56:37	30088/30088	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2021:56:36%20GMT	https://sso.uib.es/cas/login?service=https%3A%2F%2Fserveis.uib.es%2Fportal-info%2Fportal%2Fentry%2F	sso.uib.es/cas/loginc95f.html	(from )
23:56:37	0/0	---M--	307	error ('Moved%20Temporarily')	text/html		https://sso.uib.es/robots.txt		(from )
23:56:39	89501/89501	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2001%20Jan%201970%2000:00:01%20GMT	https://sso.uib.es/cas/webjars/jquery/3.6.0/jquery.min.js	sso.uib.es/cas/webjars/jquery/3.6.0/jquery.min.js	(from https://sso.uib.es/cas/login?service=https%3A%2F%2Fserveis.uib.es%2Fportal-info%2Fportal%2Fentry%2F)
23:56:41	12873/12873	---M--	200	added ('OK')	text/css	date:Thu,%2001%20Jan%201970%2000:00:01%20GMT	https://sso.uib.es/cas/css/cas.css	sso.uib.es/cas/css/cas.css	(from https://sso.uib.es/cas/login?service=https%3A%2F%2Fserveis.uib.es%2Fportal-info%2Fportal%2Fentry%2F)
23:56:41	4286/4286	---M--	200	added ('OK')	image/x-icon	date:Thu,%2001%20Jan%201970%2000:00:01%20GMT	https://sso.uib.es/cas/favicon.ico	sso.uib.es/cas/favicon.ico	(from https://sso.uib.es/cas/login?service=https%3A%2F%2Fserveis.uib.es%2Fportal-info%2Fportal%2Fentry%2F)
23:56:41	511270/511270	---M--	200	added ('OK')	text/css	date:Thu,%2001%20Jan%201970%2000:00:01%20GMT	https://sso.uib.es/cas/webjars/material-components-web/10.0.0/dist/material-components-web.css	sso.uib.es/cas/webjars/material-components-web/10.0.0/dist/material-components-web.css	(from https://sso.uib.es/cas/login?service=https%3A%2F%2Fserveis.uib.es%2Fportal-info%2Fportal%2Fentry%2F)
23:56:43	26209/26209	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2021:56:42%20GMT	https://sso.uib.es/cas/login?locale=ca	sso.uib.es/cas/login0fdd.html	(from https://sso.uib.es/cas/login?service=https%3A%2F%2Fserveis.uib.es%2Fportal-info%2Fportal%2Fentry%2F)
23:56:44	26244/26244	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2021:56:43%20GMT	https://sso.uib.es/cas/login?locale=es	sso.uib.es/cas/login7ae9.html	(from https://sso.uib.es/cas/login?service=https%3A%2F%2Fserveis.uib.es%2Fportal-info%2Fportal%2Fentry%2F)
23:56:44	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2003%20Oct%202023%2021:56:44%20GMT	https://sso.uib.es/cas/clientredirect?client_name=ssoDAazure&service=https%3A%2F%2Fserveis.uib.es%2Fportal-info%2Fportal%2Fentry%2F&locale=en	sso.uib.es/cas/clientredirect.7fe8a.delayed	(from https://sso.uib.es/cas/login?service=https%3A%2F%2Fserveis.uib.es%2Fportal-info%2Fportal%2Fentry%2F)
23:56:45	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2003%20Oct%202023%2021:56:44%20GMT	https://sso.uib.es/cas/clientredirect?client_name=ssoDAazure_2FA&service=https%3A%2F%2Fserveis.uib.es%2Fportal-info%2Fportal%2Fentry%2F&locale=en	sso.uib.es/cas/clientredirect.84e97.delayed	(from https://sso.uib.es/cas/login?service=https%3A%2F%2Fserveis.uib.es%2Fportal-info%2Fportal%2Fentry%2F)
